risk_id,risk_type,risk_level,related_object,description,suggestion,status,created_at
RINV00012,库存不足,Critical,P048,苹果 Apple iPhone 11 128GB 新包装 在 北京分仓 当前库存 82，低于安全库存 280。,优先补货 苹果 Apple iPhone 11 128GB 新包装，建议补货量不少于 297 件。,open,2026-06-24 09:00:00
RINV00013,库存不足,Critical,P022,后天气丹花献光彩紧颜系列7件套 在 北京分仓 当前库存 54，低于安全库存 248。,优先补货 后天气丹花献光彩紧颜系列7件套，建议补货量不少于 291 件。,open,2026-05-30 09:00:00
RINV00014,库存不足,Critical,P033,哆啦哈蕾艺术家系列拉拉裤 在 上海前置仓 当前库存 87，低于安全库存 280。,优先补货 哆啦哈蕾艺术家系列拉拉裤，建议补货量不少于 290 件。,open,2026-04-26 09:00:00
RINV00015,库存不足,Critical,P026,JMsolution活性睡眠面霜系列 在 武汉中转仓 当前库存 42，低于安全库存 234。,优先补货 JMsolution活性睡眠面霜系列，建议补货量不少于 288 件。,open,2026-04-09 09:00:00
RINV00016,库存不足,Critical,P043,第七代雅诗兰黛小棕瓶精华100ml 在 武汉中转仓 当前库存 56，低于安全库存 243。,优先补货 第七代雅诗兰黛小棕瓶精华100ml，建议补货量不少于 281 件。,open,2026-06-05 09:00:00
RINV00017,库存不足,Critical,P045,苹果Apple iPhone 12 5G手机 128G版本 在 武汉中转仓 当前库存 63，低于安全库存 248。,优先补货 苹果Apple iPhone 12 5G手机 128G版本，建议补货量不少于 278 件。,open,2026-05-16 09:00:00
RINV00018,库存不足,Critical,P046,雪花秀润致焕活精华肌底液30ml全新保湿补水尝鲜装 在 北京分仓 当前库存 105，低于安全库存 286。,优先补货 雪花秀润致焕活精华肌底液30ml全新保湿补水尝鲜装，建议补货量不少于 272 件。,open,2026-06-26 09:00:00
RINV00019,库存不足,Critical,P033,哆啦哈蕾艺术家系列拉拉裤 在 深圳跨境仓 当前库存 64，低于安全库存 240。,优先补货 哆啦哈蕾艺术家系列拉拉裤，建议补货量不少于 264 件。,open,2026-05-30 09:00:00
RINV00020,库存不足,Critical,P040,贵州茅台 飞天茅台白酒 酱香型 500ml 在 深圳跨境仓 当前库存 90，低于安全库存 265。,优先补货 贵州茅台 飞天茅台白酒 酱香型 500ml，建议补货量不少于 263 件。,open,2026-05-27 09:00:00
RINV00021,库存不足,Critical,P047,戴姆勒珊瑚绒毛巾 在 深圳跨境仓 当前库存 103，低于安全库存 278。,优先补货 戴姆勒珊瑚绒毛巾，建议补货量不少于 263 件。,open,2026-05-28 09:00:00
RINV00022,库存不足,Critical,P023,维达棉韧抽取面巾3层M码100抽 在 上海前置仓 当前库存 26，低于安全库存 193。,优先补货 维达棉韧抽取面巾3层M码100抽，建议补货量不少于 251 件。,open,2026-06-22 09:00:00
RINV00023,库存不足,High,P020,雪花秀限定明星润燥滋盈礼盒 在 南京配送中心 当前库存 110，低于安全库存 271。,优先补货 雪花秀限定明星润燥滋盈礼盒，建议补货量不少于 242 件。,open,2026-05-27 09:00:00
RINV00024,库存不足,Critical,P017,蒂佳婷面膜 在 广州中心仓 当前库存 60，低于安全库存 220。,优先补货 蒂佳婷面膜，建议补货量不少于 240 件。,open,2026-04-08 09:00:00
RINV00025,库存不足,Critical,P020,雪花秀限定明星润燥滋盈礼盒 在 广州中心仓 当前库存 21，低于安全库存 181。,优先补货 雪花秀限定明星润燥滋盈礼盒，建议补货量不少于 240 件。,open,2026-04-29 09:00:00
RINV00026,库存不足,High,P022,后天气丹花献光彩紧颜系列7件套 在 杭州电商仓 当前库存 105，低于安全库存 255。,优先补货 后天气丹花献光彩紧颜系列7件套，建议补货量不少于 225 件。,open,2026-05-21 09:00:00
RINV00027,库存不足,High,P029,Ubras All in Time无尺码通勤小花漾文胸VII 在 广州中心仓 当前库存 120，低于安全库存 266。,优先补货 Ubras All in Time无尺码通勤小花漾文胸VII，建议补货量不少于 219 件。,open,2026-05-29 09:00:00
RINV00028,库存不足,High,P007,苹果 Apple iPhone 12 全网通5G 在 上海前置仓 当前库存 105，低于安全库存 245。,优先补货 苹果 Apple iPhone 12 全网通5G，建议补货量不少于 210 件。,open,2026-05-09 09:00:00
RINV00029,库存不足,Critical,P011,抗蓝光眼霜 小棕瓶套装 在 北京分仓 当前库存 54，低于安全库存 193。,优先补货 抗蓝光眼霜 小棕瓶套装，建议补货量不少于 209 件。,open,2026-04-24 09:00:00
RINV00030,库存不足,Critical,P036,高姿白金修斑焕白臻颜奢养套装 0926 在 成都区域仓 当前库存 19，低于安全库存 156。,优先补货 高姿白金修斑焕白臻颜奢养套装 0926，建议补货量不少于 206 件。,open,2026-06-11 09:00:00
RINV00031,库存不足,Critical,P005,苹果Apple iPhone 11 全网通4G手机 双卡双待 在 成都区域仓 当前库存 34，低于安全库存 167。,优先补货 苹果Apple iPhone 11 全网通4G手机 双卡双待，建议补货量不少于 200 件。,open,2026-06-11 09:00:00
RINV00032,库存不足,High,P023,维达棉韧抽取面巾3层M码100抽 在 上海前置仓 当前库存 131，低于安全库存 260。,优先补货 维达棉韧抽取面巾3层M码100抽，建议补货量不少于 194 件。,open,2026-05-28 09:00:00
RINV00033,库存不足,Critical,P047,戴姆勒珊瑚绒毛巾 在 广州中心仓 当前库存 17，低于安全库存 144。,优先补货 戴姆勒珊瑚绒毛巾，建议补货量不少于 191 件。,open,2026-04-26 09:00:00
RINV00034,库存不足,High,P027,精典泰迪医护级婴儿纸尿裤超薄透气尿不湿拉拉裤 在 成都区域仓 当前库存 155，低于安全库存 282。,优先补货 精典泰迪医护级婴儿纸尿裤超薄透气尿不湿拉拉裤，建议补货量不少于 191 件。,open,2026-06-02 09:00:00
RINV00035,库存不足,High,P028,SK II 旅行必备套装 在 武汉中转仓 当前库存 112，低于安全库存 235。,优先补货 SK II 旅行必备套装，建议补货量不少于 185 件。,open,2026-06-24 09:00:00
RINV00036,库存不足,High,P037,A雅鹿 鄂尔多斯纯羊毛六斤秋冬双人被 在 成都区域仓 当前库存 122，低于安全库存 245。,优先补货 A雅鹿 鄂尔多斯纯羊毛六斤秋冬双人被，建议补货量不少于 185 件。,open,2026-06-03 09:00:00
RINV00037,库存不足,High,P005,苹果Apple iPhone 11 全网通4G手机 双卡双待 在 北京分仓 当前库存 150，低于安全库存 269。,优先补货 苹果Apple iPhone 11 全网通4G手机 双卡双待，建议补货量不少于 179 件。,open,2026-04-06 09:00:00
RINV00038,库存不足,Critical,P017,蒂佳婷面膜 在 广州中心仓 当前库存 27，低于安全库存 146。,优先补货 蒂佳婷面膜，建议补货量不少于 179 件。,open,2026-05-26 09:00:00
RINV00039,库存不足,Critical,P010,innisfree 悦诗风吟悦享鲜萃面膜深层补水持久保湿滋养柔嫩弹性 在 广州中心仓 当前库存 52，低于安全库存 171。,优先补货 innisfree 悦诗风吟悦享鲜萃面膜深层补水持久保湿滋养柔嫩弹性，建议补货量不少于 179 件。,open,2026-04-26 09:00:00
RINV00040,库存不足,High,P009,后天气丹花献光彩紧颜系列礼盒7件套 在 南京配送中心 当前库存 115，低于安全库存 229。,优先补货 后天气丹花献光彩紧颜系列礼盒7件套，建议补货量不少于 171 件。,open,2026-06-27 09:00:00
RINV00041,库存不足,Critical,P016,Apple iPhone 12 128GB 支持移动联通电信5G 双卡双待手机 在 武汉中转仓 当前库存 12，低于安全库存 124。,优先补货 Apple iPhone 12 128GB 支持移动联通电信5G 双卡双待手机，建议补货量不少于 168 件。,open,2026-06-20 09:00:00
RINV00042,库存不足,High,P014,中国黄金 投资金条 50克 在 深圳跨境仓 当前库存 87，低于安全库存 198。,优先补货 中国黄金 投资金条 50克，建议补货量不少于 167 件。,open,2026-06-03 09:00:00
RINV00043,库存不足,High,P023,维达棉韧抽取面巾3层M码100抽 在 深圳跨境仓 当前库存 163，低于安全库存 274。,优先补货 维达棉韧抽取面巾3层M码100抽，建议补货量不少于 167 件。,open,2026-04-24 09:00:00
RINV00044,库存不足,High,P013,雪花秀明星润燥滋盈礼盒定制版拍1到手共22件 在 广州中心仓 当前库存 154，低于安全库存 261。,优先补货 雪花秀明星润燥滋盈礼盒定制版拍1到手共22件，建议补货量不少于 161 件。,open,2026-06-01 09:00:00
RINV00045,库存不足,High,P039,erke 鸿星尔克男女情侣款中帮男板鞋休闲鞋11120203531 XM 在 南京配送中心 当前库存 114，低于安全库存 221。,优先补货 erke 鸿星尔克男女情侣款中帮男板鞋休闲鞋11120203531 XM，建议补货量不少于 161 件。,open,2026-04-18 09:00:00
RINV00046,库存不足,Critical,P037,A雅鹿 鄂尔多斯纯羊毛六斤秋冬双人被 在 广州中心仓 当前库存 38，低于安全库存 143。,优先补货 A雅鹿 鄂尔多斯纯羊毛六斤秋冬双人被，建议补货量不少于 158 件。,open,2026-05-06 09:00:00
RINV00047,库存不足,Critical,P046,雪花秀润致焕活精华肌底液30ml全新保湿补水尝鲜装 在 广州中心仓 当前库存 21，低于安全库存 125。,优先补货 雪花秀润致焕活精华肌底液30ml全新保湿补水尝鲜装，建议补货量不少于 156 件。,open,2026-04-21 09:00:00
RINV00048,库存不足,Medium,P016,Apple iPhone 12 128GB 支持移动联通电信5G 双卡双待手机 在 武汉中转仓 当前库存 180，低于安全库存 280。,优先补货 Apple iPhone 12 128GB 支持移动联通电信5G 双卡双待手机，建议补货量不少于 150 件。,monitoring,2026-05-18 09:00:00
RINV00049,库存不足,High,P003,Apple iPhone 11 64G 移动联通电信4G全网通手机 2020新款 在 广州中心仓 当前库存 157，低于安全库存 256。,优先补货 Apple iPhone 11 64G 移动联通电信4G全网通手机 2020新款，建议补货量不少于 149 件。,open,2026-06-01 09:00:00
RINV00050,库存不足,High,P042,鸭鸭羽绒服2020年新款女中长款过膝DSL06B0030 在 武汉中转仓 当前库存 82，低于安全库存 179。,优先补货 鸭鸭羽绒服2020年新款女中长款过膝DSL06B0030，建议补货量不少于 146 件。,open,2026-06-22 09:00:00
RINV00051,库存不足,High,P032,AOEO阿纯生日会421大套盒 在 杭州电商仓 当前库存 119，低于安全库存 214。,优先补货 AOEO阿纯生日会421大套盒，建议补货量不少于 143 件。,open,2026-06-19 09:00:00
RINV00052,库存不足,Critical,P010,innisfree 悦诗风吟悦享鲜萃面膜深层补水持久保湿滋养柔嫩弹性 在 广州中心仓 当前库存 38，低于安全库存 132。,优先补货 innisfree 悦诗风吟悦享鲜萃面膜深层补水持久保湿滋养柔嫩弹性，建议补货量不少于 141 件。,open,2026-05-28 09:00:00
RINV00053,库存不足,Critical,P045,苹果Apple iPhone 12 5G手机 128G版本 在 武汉中转仓 当前库存 18，低于安全库存 112。,优先补货 苹果Apple iPhone 12 5G手机 128G版本，建议补货量不少于 141 件。,open,2026-05-25 09:00:00
RINV00054,库存不足,High,P034,胶原蛋白果味饮料50ml10瓶 盒 5 在 深圳跨境仓 当前库存 58，低于安全库存 151。,优先补货 胶原蛋白果味饮料50ml10瓶 盒 5，建议补货量不少于 140 件。,open,2026-04-27 09:00:00
RINV00055,库存不足,Medium,P046,雪花秀润致焕活精华肌底液30ml全新保湿补水尝鲜装 在 广州中心仓 当前库存 194，低于安全库存 285。,优先补货 雪花秀润致焕活精华肌底液30ml全新保湿补水尝鲜装，建议补货量不少于 137 件。,monitoring,2026-06-06 09:00:00
RINV00056,库存不足,High,P022,后天气丹花献光彩紧颜系列7件套 在 杭州电商仓 当前库存 126，低于安全库存 215。,优先补货 后天气丹花献光彩紧颜系列7件套，建议补货量不少于 134 件。,open,2026-05-20 09:00:00
RINV00057,库存不足,Critical,P024,JMsolution玻尿酸水乳套盒 在 杭州电商仓 当前库存 35，低于安全库存 123。,优先补货 JMsolution玻尿酸水乳套盒，建议补货量不少于 132 件。,open,2026-05-22 09:00:00
RINV00058,库存不足,Critical,P006,Apple iPhone 11 64G 移动联通电信4G全网通手机 在 杭州电商仓 当前库存 14，低于安全库存 101。,优先补货 Apple iPhone 11 64G 移动联通电信4G全网通手机，建议补货量不少于 131 件。,open,2026-05-28 09:00:00
RINV00059,库存不足,Medium,P028,SK II 旅行必备套装 在 杭州电商仓 当前库存 197，低于安全库存 281。,优先补货 SK II 旅行必备套装，建议补货量不少于 126 件。,monitoring,2026-04-25 09:00:00
RINV00060,库存不足,Medium,P040,贵州茅台 飞天茅台白酒 酱香型 500ml 在 深圳跨境仓 当前库存 158，低于安全库存 241。,优先补货 贵州茅台 飞天茅台白酒 酱香型 500ml，建议补货量不少于 125 件。,monitoring,2026-07-03 09:00:00
RLOG00061,物流延误,Critical,YT2604071169889,广州白云仓 到 昆明 的 韵达物流 运单延误 72 小时，商品为 戴维贝拉夏装女童连衣裙宝宝洋气公主裙蓬蓬裙儿童裙子DBM14099。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-06 10:00:00
RLOG00062,物流延误,Critical,YT2604013550320,广州白云仓 到 贵阳 的 德邦物流 运单延误 72 小时，商品为 SK II舒透护肤洁面霜 120ml。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-03-31 10:00:00
RLOG00063,物流延误,Critical,YT2604014362001,成都双流仓 到 合肥 的 京东物流 运单延误 72 小时，商品为 自然堂鼻贴立体修颜三色蜜粉饼。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-03-31 10:00:00
RLOG00064,物流延误,Critical,YT2604015062752,北京通州仓 到 西安 的 申通快递 运单延误 72 小时，商品为 HYBRIS依伯瑞丝浅蓝女士上衣HY241X016A38。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-03-31 10:00:00
RLOG00065,物流延误,Critical,YT2604062369052,成都双流仓 到 南昌 的 极兔速递 运单延误 72 小时，商品为 华为 P40 Pro手机。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-05 10:00:00
RLOG00066,物流延误,Critical,YT2604053543521,北京通州仓 到 苏州 的 顺丰速运 运单延误 72 小时，商品为 VEECCI唯资眼线胶笔防水不易晕染持久不易脱色。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-04 10:00:00
RLOG00067,物流延误,Critical,YT2604095888905,上海嘉定仓 到 长沙 的 京东物流 运单延误 72 小时，商品为 蓝尼芳可氨基酸柔韧奢养洗发水净爽柔顺秀发飘扬。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-08 10:00:00
RLOG00068,物流延误,Critical,YT2604017324090,上海嘉定仓 到 合肥 的 顺丰速运 运单延误 72 小时，商品为 BXB定制款 纯白简约百搭T恤 FZ0145。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-03-31 10:00:00
RLOG00069,物流延误,Critical,YT2604018792598,北京通州仓 到 成都 的 圆通快递 运单延误 72 小时，商品为 洋气百搭小众包包女2020新款潮时尚网红水桶子母包气质单肩斜挎包。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-03-31 10:00:00
RLOG00070,物流延误,Critical,YT2604057570266,北京通州仓 到 长沙 的 申通快递 运单延误 72 小时，商品为 全福康瑜伽柱泡沫轴。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-04 10:00:00
RLOG00071,物流延误,Critical,YT2604021320637,上海嘉定仓 到 郑州 的 京东物流 运单延误 72 小时，商品为 OLAY水漾动力焕采水光套盒。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-01 10:00:00
RLOG00072,物流延误,Critical,YT2604064936795,广州白云仓 到 宁波 的 圆通快递 运单延误 72 小时，商品为 Salomon SPEEDCROSS 4 GTX W 男女款户外越野跑鞋。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-05 10:00:00
RLOG00073,物流延误,Critical,YT2604101757136,北京通州仓 到 福州 的 圆通快递 运单延误 72 小时，商品为 荣耀手表ES 1 64英寸高清大屏 10天续航 快充 95种运动模式。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-09 10:00:00
RLOG00074,物流延误,Critical,YT2604091794855,上海嘉定仓 到 沈阳 的 京东物流 运单延误 72 小时，商品为 泊蝶VC柔润爽肤水。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-08 10:00:00
RLOG00075,物流延误,Critical,YT2604048705598,成都双流仓 到 合肥 的 德邦物流 运单延误 72 小时，商品为 美宝莲极细防水眼线液黑色0 5克。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-03 10:00:00
RLOG00076,物流延误,Critical,YT2604023271672,北京通州仓 到 青岛 的 中通快递 运单延误 72 小时，商品为 华为充电器数据线装饰贴纸。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-01 10:00:00
RLOG00077,物流延误,Critical,YT2604068354118,成都双流仓 到 太原 的 申通快递 运单延误 72 小时，商品为 杉杉休闲西服春秋新款竖条纹一粒扣后开叉单西XDX8700076。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-05 10:00:00
RLOG00078,物流延误,Critical,YT2604024775767,北京通州仓 到 贵阳 的 顺丰速运 运单延误 72 小时，商品为 马克华菲男鞋小白鞋。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-01 10:00:00
RLOG00079,物流延误,Critical,YT2604025254912,武汉东西湖仓 到 成都 的 圆通快递 运单延误 72 小时，商品为 巴拉巴拉男童针织衫儿童秋装儿童中大童22031201796。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-01 10:00:00
RLOG00080,物流延误,Critical,YT2604078202140,北京通州仓 到 苏州 的 中通快递 运单延误 72 小时，商品为 阿迪达斯adidas男士洗发沐浴露250ml薄荷清爽洗沐二合一持久留香。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-06 10:00:00
RLOG00081,物流延误,Critical,YT2604026660569,北京通州仓 到 天津 的 京东物流 运单延误 72 小时，商品为 海澜之家保暖双领针织衫HNTJD4E145A。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-01 10:00:00
RLOG00082,物流延误,Critical,YT2604076895844,上海嘉定仓 到 太原 的 圆通快递 运单延误 72 小时，商品为 胖虎纪梵希 95新 公价3950 991905010016。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-06 10:00:00
RLOG00083,物流延误,Critical,YT2604081854237,成都双流仓 到 南昌 的 极兔速递 运单延误 72 小时，商品为 贵人鸟春夏季男女款GRN203。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-07 10:00:00
RLOG00084,物流延误,Critical,YT2604064611689,成都双流仓 到 青岛 的 京东物流 运单延误 72 小时，商品为 奢社 Cartier 卡地亚 LOVE戒指 宽版 ss7133。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-05 10:00:00
RLOG00085,物流延误,Critical,YT2604086093867,广州白云仓 到 厦门 的 德邦物流 运单延误 72 小时，商品为 韩熙贞焕采懒人霜。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-07 10:00:00
RLOG00086,物流延误,Critical,YT2604064499130,上海嘉定仓 到 西安 的 圆通快递 运单延误 72 小时，商品为 52 扳倒井品鉴十五1000ml。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-05 10:00:00
RLOG00087,物流延误,Critical,YT2604029596613,北京通州仓 到 郑州 的 圆通快递 运单延误 72 小时，商品为 东菱便携式热水杯迷你便携自动保温。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-01 10:00:00
RLOG00088,物流延误,Critical,YT2604029686243,广州白云仓 到 广州 的 德邦物流 运单延误 72 小时，商品为 鸿星尔克男鞋夏季透气飞织镂空网面防滑耐磨低帮运动休闲防臭板鞋。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-01 10:00:00
RLOG00089,物流延误,Critical,YT2604087877573,北京通州仓 到 贵阳 的 圆通快递 运单延误 72 小时，商品为 巴拉巴拉221夏男中童短袖T恤202221117112。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-07 10:00:00
RLOG00090,物流延误,Critical,YT2604031579930,成都双流仓 到 济南 的 德邦物流 运单延误 72 小时，商品为 史努比2020夏季童装男女童可爱舒适短裤多色可选印花裤装。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-02 10:00:00
RLOG00091,物流延误,Critical,YT2604071517828,上海嘉定仓 到 广州 的 德邦物流 运单延误 72 小时，商品为 AHC B5玻尿酸面膜 5片式 盒。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-06 10:00:00
RLOG00092,物流延误,Critical,YT2604034689755,武汉东西湖仓 到 南宁 的 京东物流 运单延误 72 小时，商品为 三合一凝珠 270g 3赠衣物柔顺剂420ml。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-02 10:00:00
RLOG00093,物流延误,Critical,YT2604065481386,广州白云仓 到 苏州 的 德邦物流 运单延误 72 小时，商品为 原切谷饲西冷牛排500g 2。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-05 10:00:00
RLOG00094,物流延误,Critical,YT2604067898534,广州白云仓 到 天津 的 中通快递 运单延误 72 小时，商品为 FILA斐乐正品女装运动T恤2020夏季新款休闲针织短袖衫。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-05 10:00:00
RLOG00095,物流延误,Critical,YT2604054540646,武汉东西湖仓 到 哈尔滨 的 极兔速递 运单延误 72 小时，商品为 ROAMAN 罗曼牙刷充电器充电底座。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-04 10:00:00
RLOG00096,物流延误,Critical,YT2604037499033,成都双流仓 到 太原 的 德邦物流 运单延误 72 小时，商品为 西裤A250 1。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-02 10:00:00
RLOG00097,物流延误,Critical,YT2604068722449,上海嘉定仓 到 南宁 的 极兔速递 运单延误 72 小时，商品为 汤臣倍健 胶原蛋白肽30条 桶拍一发二。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-05 10:00:00
RLOG00098,物流延误,Critical,YT2604074701385,上海嘉定仓 到 苏州 的 极兔速递 运单延误 72 小时，商品为 不梵 精致手链套装 H7206。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-06 10:00:00
RLOG00099,物流延误,Critical,YT2604038246326,广州白云仓 到 天津 的 极兔速递 运单延误 72 小时，商品为 心相印 云感系列110克27粒四层立体压花卷筒卫生纸。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-02 10:00:00
RLOG00100,物流延误,Critical,YT2604054598028,北京通州仓 到 南京 的 顺丰速运 运单延误 72 小时，商品为 GRN2182A 儿童运动鞋。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-04 10:00:00
RLOG00101,物流延误,Critical,YT2604049279380,广州白云仓 到 重庆 的 圆通快递 运单延误 72 小时，商品为 础依白边修身哺乳连衣裙。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-03 10:00:00
RLOG00102,物流延误,Critical,YT2604048290701,成都双流仓 到 太原 的 申通快递 运单延误 72 小时，商品为 李宁BADFIVE训练系列男子宽松套头连帽卫衣AWDR547。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-03 10:00:00
RLOG00103,物流延误,Critical,YT2604039748840,成都双流仓 到 成都 的 京东物流 运单延误 72 小时，商品为 安洁利严选LV白三彩钱包 95新 BK50649。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-02 10:00:00
RLOG00104,物流延误,Critical,YT2604041158259,武汉东西湖仓 到 沈阳 的 韵达物流 运单延误 72 小时，商品为 维动专业运动护膝篮球装备男女半月板关节跑步膝盖保护套训练保暖。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-03 10:00:00
RLOG00105,物流延误,Critical,YT2606299860734,上海嘉定仓 到 广州 的 韵达物流 运单延误 72 小时，商品为 C92903coach 专GUI 老花斜挎包21x12。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-06-28 10:00:00
RLOG00106,物流延误,Critical,YT2604041512861,广州白云仓 到 西安 的 韵达物流 运单延误 72 小时，商品为 伊芙丽衬衣女秋款长袖2021年新款女人味上衣设计感小众雪纺衬衫女。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-03 10:00:00
RLOG00107,物流延误,Critical,YT2604078026394,广州白云仓 到 哈尔滨 的 申通快递 运单延误 72 小时，商品为 6102格子白色连衣裙小香风小个子中长裙。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-06 10:00:00
RLOG00108,物流延误,Critical,YT2604084158169,广州白云仓 到 哈尔滨 的 圆通快递 运单延误 72 小时，商品为 五粮液国鼎52度白酒500ML 4瓶一箱。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-07 10:00:00
RLOG00109,物流延误,Critical,YT2604083715017,北京通州仓 到 南京 的 申通快递 运单延误 72 小时，商品为 李宁女超轻跑鞋17 ARBQ002。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-07 10:00:00
RLOG00110,物流延误,Critical,YT2604084656752,广州白云仓 到 宁波 的 京东物流 运单延误 72 小时，商品为 笛乐妃六胜肽提拉紧致美颈霜。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-07 10:00:00
